\\ Названия способностей: \\
\\ Обновлено 29.05.2019; Патч 7.22b \\

"ability_attribute_bonus"	"Бонус к атрибутам"

"ability_special_bonus_cleave_150"	"+150% к прорубающему урону"
"[english]ability_special_bonus_cleave_150"	"+150% Cleave"

"ability_special_bonus_cast_range_275"	"+275 к дальности способностей"
"[english]ability_special_bonus_cast_range_275"	"+275 Cast Range"

"ability_special_bonus_cooldown_reduction_65"	"-65% перезарядки способностей и предметов"
"[english]ability_special_bonus_cooldown_reduction_65"	"65% Cooldown Reduction"

"ability_special_bonus_exp_boost_60"	"+60% к получаемому опыту"
"[english]ability_special_bonus_exp_boost_60"	"+60% XP Gain"

"ability_special_bonus_unique_necrophos_3"	"+30% к замедлению от Ghost Shroud"
"[english]ability_special_bonus_unique_necrophos_3"	"+30% Ghost Shroud Slow"

"ability_special_bonus_unique_necrophos_4"	"+40 к лечению от Death Pulse"
"[english]ability_special_bonus_unique_necrophos_4"	"+40 Death Pulse Heal"

"ability_special_bonus_unique_treant_6"	"Неограниченная дальность применения Living Armor"
"[english]ability_special_bonus_unique_treant_6"	"Global Living Armor"

"ability_special_bonus_unique_treant_7"	"Living Armor применяется по области радиусом 700"
"[english]ability_special_bonus_unique_treant_7"	"700 AoE Living Armor"

"ability_special_bonus_unique_sven_4"	"+1,25 сек. оглушения от Storm Hammer"
"[english]ability_special_bonus_unique_sven_4"	"+1.25s Storm Hammer Stun Duration"

"ability_special_bonus_unique_leshrac_4"	"Бесплотная форма при применении Diabolic Edict"
"[english]ability_special_bonus_unique_leshrac_4"	"Diabolic Edict Gains Ethereal"

"ability_special_bonus_unique_doom_6"	"+16% к доп. скорости от Scorched Earth"
"[english]ability_special_bonus_unique_doom_6"	"+16% Scorched Earth Movement Speed"

"ability_special_bonus_unique_wraith_king_7"	"+1,5 сек. к замедлению от Wraithfire Blast"
"[english]ability_special_bonus_unique_wraith_king_7"	"+1.5s Wraithfire Blast Slow Duration"

"ability_special_bonus_unique_wraith_king_8"	"Появляется вдвое больше скелетов"
"[english]ability_special_bonus_unique_wraith_king_8"	"2x Skeletons Spawned"

"ability_special_bonus_unique_dragon_knight_3"	"+25% к снижению урона у Breathe Fire"
"[english]ability_special_bonus_unique_dragon_knight_3"	"-25% Breathe Fire Damage Reduction"

"ability_special_bonus_unique_dragon_knight_4"	"Dragon Blood становится аурой"
"[english]ability_special_bonus_unique_dragon_knight_4"	"Dragon Blood Aura"

"ability_special_bonus_unique_shadow_demon_7"	"2 заряда способности Disruption"
"[english]ability_special_bonus_unique_shadow_demon_7"	"2 Charges of Disruption"

"ability_special_bonus_unique_ancient_apparition_6"	"Cold Feet применяется по области радиусом 700"
"[english]ability_special_bonus_unique_ancient_apparition_6"	"700 AoE Cold Feet"

"ability_special_bonus_unique_arc_warden_3"	"-2 сек. перезарядки Spark Wraith"
"[english]ability_special_bonus_unique_arc_warden_3"	"-2s Spark Wraith Cooldown"

"ability_special_bonus_unique_arc_warden_4"	"Неограниченная дальность применения Flux"
"[english]ability_special_bonus_unique_arc_warden_4"	"Global Flux"

"ability_special_bonus_unique_arc_warden_4_Description"	"Действует только на видимых существ."
"[english]ability_special_bonus_unique_arc_warden_4_Description"	"Affects visible units only."

"ability_special_bonus_unique_meepo_4"	"+750 к дальности применения Earthbind"
"[english]ability_special_bonus_unique_meepo_4"	"+750 Earthbind Cast Range"

"ability_riki_tricks_of_the_trade_attack_rate"	"ИНТЕРВАЛ АТАК:"
"[english]ability_riki_tricks_of_the_trade_attack_rate"	"ATTACK RATE:"

"ability_dark_seer_vacuum_cast_range_tooltip"	"ДАЛЬНОСТЬ ПРИМЕНЕНИЯ:"
"[english]ability_dark_seer_vacuum_cast_range_tooltip"	"CAST RANGE:"

"ability_undying_tombstone_zombie_deathstrike_bonus_move_speed"	"%ДОП. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
"[english]ability_undying_tombstone_zombie_deathstrike_bonus_move_speed"	"%BONUS MOVE SPEED:"

"ability_undying_tombstone_zombie_deathstrike_bonus_attack_speed"	"ДОП. СКОРОСТЬ АТАКИ:"
"[english]ability_undying_tombstone_zombie_deathstrike_bonus_attack_speed"	"BONUS ATTACK SPEED:"

"ability_wisp_tether_tether_heal_amp"	"МНОЖИТЕЛЬ ВОССТАНОВЛЕНИЯ:"
"[english]ability_wisp_tether_tether_heal_amp"	"HP/MANA AMP:"

"ability_riki_tricks_of_the_trade_duration_tooltip"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_riki_tricks_of_the_trade_duration_tooltip"	"DURATION:"

"ability_item_aegis_Note0"	"Переводится как «Эгида»."
"[english]ability_item_aegis_Note0"	"Pronounced as ayy jis."

"ability_mirana_invis_bonus_movement_speed"	"%УСКОРЕНИЕ ПЕРЕДВИЖЕНИЯ:"
"[english]ability_mirana_invis_bonus_movement_speed"	"%MOVEMENT SPEED:"

"ability_tiny_craggy_exterior_splash_pct"	"%ПРОРУБАЮЩИЙ УРОН:"
"[english]ability_tiny_craggy_exterior_splash_pct"	"%SPLASH DAMAGE:"

"ability_ogre_magi_bloodlust_self_bonus"	"ДОП. СКОРОСТЬ АТАКИ СЕБЕ:"
"[english]ability_ogre_magi_bloodlust_self_bonus"	"SELF BONUS ATTACK SPEED:"

"ability_wisp_spirits_slow"	"%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
"[english]ability_wisp_spirits_slow"	"%MOVEMENT SLOW:"

"ability_wisp_spirits_slow_duration"	"ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
"[english]ability_wisp_spirits_slow_duration"	"SLOW DURATION:"

"ability_ember_spirit_searing_chains_total_damage"	"СУММАРНЫЙ УРОН:"
"[english]ability_ember_spirit_searing_chains_total_damage"	"TOTAL DAMAGE:"

"ability_special_bonus_mp_regen_150"	"+1,5% к восстановлению маны"
"[english]ability_special_bonus_mp_regen_150"	"+1.5 Mana Regen"

"ability_special_bonus_unique_wisp_6"	"-30 сек. перезарядки Relocate"
"[english]ability_special_bonus_unique_wisp_6"	"-30s Relocate Cooldown"

"ability_special_bonus_unique_arc_warden_5"	"+400 к дальности применения Flux"
"[english]ability_special_bonus_unique_arc_warden_5"	"+400 Flux Cast Range"

"ability_item_abyssal_blade_bonus_damage"	"+$damage"
"[english]ability_item_abyssal_blade_bonus_damage"	"+$damage"

"ability_item_basher_bonus_damage"	"+$damage"
"[english]ability_item_basher_bonus_damage"	"+$damage"

"ability_item_monkey_king_bar_bonus_damage"	"+$damage"
"[english]ability_item_monkey_king_bar_bonus_damage"	"+$damage"

"ability_item_super_blink_Description"	"<h1>Активируемая: Blink</h1> Мгновенно перемещает к указанной точке на расстоянии до %blink_range%."
"[english]ability_item_super_blink_Description"	"<h1>Active: Blink</h1> Teleport to a target point up to %blink_range% units away."

"ability_item_super_blink_Lore"	"Легендарный кинжал, которым когда-то пользовался самый быстрый убийца на свете."
"[english]ability_item_super_blink_Lore"	"The fabled dagger used by the fastest assassin ever to walk the lands."

"ability_zuus_lightning_bolt_cast_range_tooltip"	"ДАЛЬНОСТЬ ПРИМЕНЕНИЯ:"
"[english]ability_zuus_lightning_bolt_cast_range_tooltip"	"CAST RANGE:"

"ability_night_stalker_darkness_blind_percentage"	"СНИЖЕНИЕ ОБЗОРА:"
"[english]ability_night_stalker_darkness_blind_percentage"	"VISION REDUCTION:"

"ability_special_bonus_movement_speed_65"	"+65 к скорости передвижения"
"[english]ability_special_bonus_movement_speed_65"	"+65 Movement Speed"

"ability_special_bonus_unique_kunkka_5"	"-1,5 сек. перезарядки Tidebringer"
"[english]ability_special_bonus_unique_kunkka_5"	"-1.5s Tidebringer Cooldown"

"ability_special_bonus_unique_ursa_6"	"Enrage даёт 80% сопротивления эффектам"
"[english]ability_special_bonus_unique_ursa_6"	"Enrage gains 80% Status Resistance"

"ability_special_bonus_unique_pangolier_6"	"+2 сек. действия Rolling Thunder"
"[english]ability_special_bonus_unique_pangolier_6"	"+2s Rolling Thunder Duration"

"ability_earthshaker_echo_slam_echo_slam_initial_damage"	"БАЗОВЫЙ УРОН:"
"[english]ability_earthshaker_echo_slam_echo_slam_initial_damage"	"INITIAL DAMAGE:"

"ability_bristleback_viscous_nasal_goo_base_armor"	"БАЗОВОЕ СНИЖЕНИЕ БРОНИ:"
"[english]ability_bristleback_viscous_nasal_goo_base_armor"	"BASE ARMOR LOSS:"

"ability_special_bonus_unique_pudge_4"	"+16% к замедлению от Rot"
"[english]ability_special_bonus_unique_pudge_4"	"+16% Rot Slow"

"ability_special_bonus_unique_alchemist_5"	"+3 к снижению брони от Acid Spray"
"[english]ability_special_bonus_unique_alchemist_5"	"-3 Acid Spray Armor Reduction"

"ability_special_bonus_unique_huskar_4"	"+120 к макс. урону от Berserker's Blood"
"[english]ability_special_bonus_unique_huskar_4"	"+120 Max Damage Berserker's Blood"

"ability_special_bonus_unique_huskar_5"	"Burning Spears наносит чистый урон"
"[english]ability_special_bonus_unique_huskar_5"	"Burning Spears Pure Damage"

"ability_special_bonus_unique_huskar_5_Description"	"Проходит сквозь невосприимчивость к магии."
"[english]ability_special_bonus_unique_huskar_5_Description"	"Pierces Spell Immunity."

"ability_special_bonus_unique_gyrocopter_6"	"+0,5 сек. оглушения от Homing Missile"
"[english]ability_special_bonus_unique_gyrocopter_6"	"+0.5s Homing Missile Stun Duration"

"ability_item_solar_crest_self_bonus_evasion"	"%+$evasion"
"[english]ability_item_solar_crest_self_bonus_evasion"	"%+$evasion"

"ability_special_bonus_unique_invoker_9"	"-12 сек. перезарядки Cold Snap"
"[english]ability_special_bonus_unique_invoker_9"	"-12s Cold Snap Cooldown"

"ability_courier_autodeliver"	"Автодоставка"
"[english]ability_courier_autodeliver"	"Auto Deliver"

"ability_courier_autodeliver_Description"	"Включает/отключает автоматическую доставку предметов."
"[english]ability_courier_autodeliver_Description"	"Toggle auto delivering of items."

"ability_pugna_decrepify_Note2"	"Можно применять на тотем от способности Nether Ward."
"[english]ability_pugna_decrepify_Note2"	"Can be used on your Nether Ward."

"ability_grimstroke_dark_artistry"	"Stroke of Fate"
"[english]ability_grimstroke_dark_artistry"	"Stroke of Fate"

"ability_grimstroke_dark_artistry_Description"	"Взмахом кисти герой проводит линию из чернил, нанося урон врагам на её пути и замедляя их. Урон увеличивается с каждым задетым врагом."
"[english]ability_grimstroke_dark_artistry_Description"	"Grimstroke paints a path of ink with his brush, damaging and slowing enemies. The damage is increased with each enemy the ink hits."

"ability_grimstroke_dark_artistry_Lore"	"Губительная сила чернил, которую вознесённый вычерпал из своего павшего народа, поглотит любого врага на своём пути."
"[english]ability_grimstroke_dark_artistry_Lore"	"The corruptive force of Grimstroke's ink, drawn from the reservoir of his fallen people, consumes any enemy caught in its path."

"ability_grimstroke_dark_artistry_movement_slow_pct"	"%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
"[english]ability_grimstroke_dark_artistry_movement_slow_pct"	"%MOVEMENT SLOW:"

"ability_grimstroke_dark_artistry_slow_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_grimstroke_dark_artistry_slow_duration"	"SLOW DURATION:"

"ability_grimstroke_dark_artistry_bonus_damage_per_target"	"ДОП. УРОН ЗА ВРАГА:"
"[english]ability_grimstroke_dark_artistry_bonus_damage_per_target"	"BONUS DMG PER TARGET:"

"ability_grimstroke_ink_creature"	"Phantom's Embrace"
"[english]ability_grimstroke_ink_creature"	"Phantom's Embrace"

"ability_grimstroke_ink_creature_Description"	"Призывает фантома, который летит к выбранной цели и сжимает её в своих объятьях, нанося периодический урон и запрещая применять способности. Если фантом продержится на жертве до конца действия, он нанесёт ей большой урон от разрыва и вернётся к владельцу, а время перезарядки способности сбросится.\n\nОдна геройская атака по фантому считается за три обычных."
"[english]ability_grimstroke_ink_creature_Description"	"Summons a phantom that moves quickly towards the target, latching to it when she arrives. Once latched, the phantom damages and silences. If she survives the full latch duration she rends her victim for heavy damage and refreshes Phantom's Embrace's cooldown.\n\nHero attacks against the phantom count as 3 attacks each."

"ability_grimstroke_ink_creature_Lore"	"Страж нисколько не опечален смертью своего народа. Лишь память о Яови, что была ему ближе всех, вызывает некий отголосок тоски."
"[english]ability_grimstroke_ink_creature_Lore"	"Grimstroke holds no sorrow for the downfall of his people. Only for Yaovhi, she who was most dear to him, does he feel even a semblance of longing."

"ability_grimstroke_ink_creature_latch_duration"	"ДЛИТЕЛЬНОСТЬ ОБЪЯТИЙ:"
"[english]ability_grimstroke_ink_creature_latch_duration"	"LATCH DURATION:"

"ability_grimstroke_ink_creature_dps_tooltip"	"УРОН В СЕКУНДУ:"
"[english]ability_grimstroke_ink_creature_dps_tooltip"	"PHANTOM DPS:"

"ability_grimstroke_ink_creature_pop_damage"	"УРОН ОТ РАЗРЫВА:"
"[english]ability_grimstroke_ink_creature_pop_damage"	"REND DAMAGE:"

"ability_grimstroke_ink_creature_destroy_attacks_tooltip"	"АТАК ДЛЯ УБИЙСТВА:"
"[english]ability_grimstroke_ink_creature_destroy_attacks_tooltip"	"ATTACKS TO DESTROY:"

"ability_grimstroke_spirit_walk"	"Ink Swell"
"[english]ability_grimstroke_spirit_walk"	"Ink Swell"

"ability_grimstroke_spirit_walk_Description"	"Герой покрывает себя или союзника чернилами, которые повышают скорость передвижения и наносят урон противникам вокруг. Через %buff_duration% сек. чернила расплёскиваются, оглушая противников и нанося им урон. Длительность оглушения и урон от всплеска зависят от того, как долго чернила действовали на вражеских героев."
"[english]ability_grimstroke_spirit_walk_Description"	"Grimstroke shrouds an allied unit in ink, increasing its movement speed. Enemies in range of the allied unit are damaged with inky tendrils over time. After %buff_duration% seconds it triggers, applying damage and stun in an area around the unit in proportion to how how long ink tendril was near any hero."

"ability_grimstroke_spirit_walk_Lore"	"Теперь, когда поглощение чернилами больше не угрожает вознесённому, их мощь всегда у него под рукой."
"[english]ability_grimstroke_spirit_walk_Lore"	"Now that the rise of the ink tide no longer threatens to overwhelm Grimstroke, its tendrils of power are never far from his hand."

"ability_grimstroke_spirit_walk_buff_duration"	"ДЛИТЕЛЬНОСТЬ ЗАЩИТЫ:"
"[english]ability_grimstroke_spirit_walk_buff_duration"	"BUFF DURATION:"

"ability_grimstroke_spirit_walk_movespeed_bonus_pct"	"%ДОП. СКОРОСТЬ:"
"[english]ability_grimstroke_spirit_walk_movespeed_bonus_pct"	"%MOVESPEED BONUS:"

"ability_grimstroke_spirit_walk_radius"	"РАДИУС:"
"[english]ability_grimstroke_spirit_walk_radius"	"RADIUS:"

"ability_grimstroke_spirit_walk_damage"	"БАЗОВЫЙ УРОН:"
"[english]ability_grimstroke_spirit_walk_damage"	"BASE DAMAGE:"

"ability_grimstroke_spirit_walk_max_damage_tooltip"	"МАКС. УРОН:"
"[english]ability_grimstroke_spirit_walk_max_damage_tooltip"	"MAX DAMAGE:"

"ability_grimstroke_spirit_walk_debuff_duration"	"МИН. ОГЛУШЕНИЕ:"
"[english]ability_grimstroke_spirit_walk_debuff_duration"	"BASE STUN DURATION:"

"ability_grimstroke_spirit_walk_max_stun_tooltip"	"МАКС. ОГЛУШЕНИЕ:"
"[english]ability_grimstroke_spirit_walk_max_stun_tooltip"	"MAX STUN DURATION:"

"ability_grimstroke_spirit_walk_tick_dps_tooltip"	"УРОН В СЕКУНДУ:"
"[english]ability_grimstroke_spirit_walk_tick_dps_tooltip"	"INK TENDRILS DPS:"

"ability_grimstroke_spirit_walk_cast_range_tooltip"	"ДАЛЬНОСТЬ ПРИМЕНЕНИЯ:"
"[english]ability_grimstroke_spirit_walk_cast_range_tooltip"	"CAST RANGE:"

"ability_grimstroke_soul_chain"	"Soulbind"
"[english]ability_grimstroke_soul_chain"	"Soulbind"

"ability_grimstroke_soul_chain_Description"	"Связывает выбранного вражеского героя с его ближайшим союзником, замедляя их и не позволяя им разойтись слишком далеко друг от друга. Если на одну из жертв применить способность, направленную на существо, она автоматически применится и на вторую. Если связь разорвётся раньше времени, первоначальная цель способности привяжется к ближайшему союзному герою в радиусе действия."
"[english]ability_grimstroke_soul_chain_Description"	"Binds a targeted enemy hero to its nearest allied hero within the bind radius, preventing both from moving away from each other. Any unit-targeted ability that either bound hero receives also gets cast on the other hero. If the bind is broken before the duration expires, the initial target will be bound to its nearest allied hero in the radius."

"ability_grimstroke_soul_chain_Lore"	"Вознесённые — избранные сыны Ашкавора, чьи души связаны с душами тех, кого они должны защищать, и потому наделены невероятной мощью. Уничтожив свой народ, с годами последний страж узнал, каким нечестивым может стать ритуал связи..."
"[english]ability_grimstroke_soul_chain_Lore"	"The Ascended were chosen sons of Ashkavor, granted immense power by the bonds forged between their own souls and those they were charged with protecting. In the years that followed the ruination of his kin, Grimstroke discovered much more sinister applications for the binding rituals..."

"ability_grimstroke_soul_chain_chain_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_grimstroke_soul_chain_chain_duration"	"DURATION:"

"ability_grimstroke_soul_chain_movement_slow"	"%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
"[english]ability_grimstroke_soul_chain_movement_slow"	"%MOVEMENT SLOW:"

"ability_grimstroke_soul_chain_chain_latch_radius"	"РАДИУС СВЯЗИ:"
"[english]ability_grimstroke_soul_chain_chain_latch_radius"	"BIND RADIUS:"

"ability_grimstroke_soul_chain_cast_range_tooltip"	"ДАЛЬНОСТЬ ПРИМЕНЕНИЯ:"
"[english]ability_grimstroke_soul_chain_cast_range_tooltip"	"CAST RANGE:"

"ability_grimstroke_soul_chain_Note0"	"Связь можно разорвать любой телепортацией, например, от предметов Town Portal Scroll или Blink Dagger."
"[english]ability_grimstroke_soul_chain_Note0"	"Blinking or teleporting can break the ink bind."

"ability_special_bonus_unique_grimstroke_1"	"+200 к радиусу Ink Swell"
"[english]ability_special_bonus_unique_grimstroke_1"	"+200 Ink Swell Radius"

"ability_special_bonus_unique_grimstroke_2"	"+50% к урону от Stroke of Fate"
"[english]ability_special_bonus_unique_grimstroke_2"	"+50% Stroke of Fate Damage"

"ability_special_bonus_unique_grimstroke_3"	"+600 к дальности Stroke of Fate"
"[english]ability_special_bonus_unique_grimstroke_3"	"+600 Stroke of Fate Cast Range"

"ability_special_bonus_unique_grimstroke_4"	"+1 удар героя для убийства фантома"
"[english]ability_special_bonus_unique_grimstroke_4"	"+1 Hits to Kill Phantom"

"ability_item_tpscroll_2_Description"	"<h1>Использование: Teleport</h1>После %tooltip_channel_time% сек. произнесения заклинания, телепортирует героя к выбранной союзной постройке, существу или герою.<br><br>При двойном нажатии телепортирует к фонтану своей команды."
"[english]ability_item_tpscroll_2_Description"	"<h1>Use: Teleport</h1>After channeling for %tooltip_channel_time% seconds, teleports you to a target friendly building, unit or hero. <br><br>Double-click to teleport to your team's base fountain."

"ability_item_tpscroll_2_Note0"	"Если несколько героев будут телепортироваться в одно место, длительность телепортации будет возрастать для каждого следующего героя."
"[english]ability_item_tpscroll_2_Note0"	"If multiple heroes teleport to the same location in succession, the channeling time will be increased for each successive hero."

"ability_item_tpscroll_2_Lore"	"То, что действительно нужно истинному герою."
"[english]ability_item_tpscroll_2_Lore"	"What a hero really truly needs."

"ability_grimstroke_dark_artistry_damage"	"БАЗОВЫЙ УРОН:"
"[english]ability_grimstroke_dark_artistry_damage"	"BASE DAMAGE:"

"ability_grimstroke_dark_artistry_range_tooltip"	"ДАЛЬНОСТЬ:"
"[english]ability_grimstroke_dark_artistry_range_tooltip"	"RANGE:"

"ability_grimstroke_ink_creature_Note0"	"Невидимость или невосприимчивость к магии снимает фантома с жертвы."
"[english]ability_grimstroke_ink_creature_Note0"	"The phantom falls off if the target becomes invisible or magic immune."

"ability_grimstroke_ink_creature_Note1"	"Фантом вернётся, если во время действия его цель умрёт."
"[english]ability_grimstroke_ink_creature_Note1"	"The phantom will return if the target dies during the latch."

"ability_grimstroke_ink_creature_Note2"	"Фантом вернётся, если во время его действия цель умрёт."
"[english]ability_grimstroke_ink_creature_Note2"	"The phantom will return if the target dies during the latch."

"ability_grimstroke_ink_creature_destroy_attacks"	"АТАК ДЛЯ УБИЙСТВА:"
"[english]ability_grimstroke_ink_creature_destroy_attacks"	"ATTACKS TO DESTROY:"

"ability_grimstroke_spirit_walk_max_damage"	"МАКС. УРОН:"
"[english]ability_grimstroke_spirit_walk_max_damage"	"MAX DAMAGE:"

"ability_grimstroke_spirit_walk_max_stun"	"МАКС. ОГЛУШЕНИЕ:"
"[english]ability_grimstroke_spirit_walk_max_stun"	"MAX STUN DURATION:"

"ability_grimstroke_soul_chain_Note1"	"Даёт обзор по обоим привязанным существам."
"[english]ability_grimstroke_soul_chain_Note1"	"Provides vision of both leashed units."

"ability_alchemist_goblins_greed_bounty_multiplier"	"МНОЖИТЕЛЬ РУН БОГАТСТВА:"
"[english]ability_alchemist_goblins_greed_bounty_multiplier"	"BOUNTY RUNE MULTIPLIER:"

"ability_special_bonus_hp_regen_16"	"+16 здоровья в секунду"
"[english]ability_special_bonus_hp_regen_16"	"+16 Health Regen"

"ability_skeleton_king_hellfire_blast_blast_dot_duration"	"ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
"[english]ability_skeleton_king_hellfire_blast_blast_dot_duration"	"SLOW DURATION:"

"ability_antimage_counterspell"	"Counterspell"
"[english]ability_antimage_counterspell"	"Counterspell"

"ability_antimage_counterspell_Description"	"Увеличивает сопротивление магическому урону. Можно применить, чтобы создать вокруг себя противомагический щит, который полностью отражает все направленные заклинания обратно во врага."
"[english]ability_antimage_counterspell_Description"	"Passively grants you magic resistance. Can be activated to create an anti-magic shell around you that sends any targeted spells back towards enemies instead of affecting you."

"ability_antimage_counterspell_magic_resistance"	"%СОПРОТИВЛЕНИЕ МАГИИ:"
"[english]ability_antimage_counterspell_magic_resistance"	"%MAGIC RESISTANCE:"

"ability_antimage_counterspell_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_antimage_counterspell_duration"	"DURATION:"

"ability_lion_finger_of_death_damage_per_kill"	"ДОП. УРОН ЗА УБИЙСТВО:"
"[english]ability_lion_finger_of_death_damage_per_kill"	"DAMAGE PER KILL:"

"ability_vengefulspirit_command_aura_illusion_damage_out_pct"	"%УРОН ИЛЛЮЗИИ:"
"[english]ability_vengefulspirit_command_aura_illusion_damage_out_pct"	"%ILLUSION DAMAGE DEALT:"

"ability_vengefulspirit_command_aura_illusion_damage_in_pct"	"%УРОН ПО ИЛЛЮЗИИ:"
"[english]ability_vengefulspirit_command_aura_illusion_damage_in_pct"	"%ILLUSION DAMAGE TAKEN:"

"ability_vengefulspirit_command_aura_aghanim_description"	"Позволяет иллюзии применять способности (но не предметы)."
"[english]ability_vengefulspirit_command_aura_aghanim_description"	"Causes the Vengeance Illusion to be able to cast abilities (but not items)."

"ability_vengefulspirit_nether_swap_max_charges"	"МАКС. ЗАРЯДОВ:"
"[english]ability_vengefulspirit_nether_swap_max_charges"	"MAX CHARGES:"

"ability_vengefulspirit_nether_swap_charge_restore_time"	"ВРЕМЯ ВОССТАНОВЛЕНИЯ ЗАРЯДА:"
"[english]ability_vengefulspirit_nether_swap_charge_restore_time"	"CHARGE RESTORE TIME:"

"ability_vengefulspirit_nether_swap_charge_restore_time_scepter"	"ВРЕМЯ ВОССТАНОВЛЕНИЯ ЗАРЯДА СО СКИПЕТРОМ:"
"[english]ability_vengefulspirit_nether_swap_charge_restore_time_scepter"	"SCEPTER CHARGE RESTORE TIME:"

"ability_juggernaut_omni_slash_attack_rate_multiplier"	"МНОЖИТЕЛЬ СКОРОСТИ АТАКИ:"
"[english]ability_juggernaut_omni_slash_attack_rate_multiplier"	"SLASHES RATE MULTIPLIER:"

"ability_juggernaut_omni_slash_bonus_damage"	"ДОПОЛНИТЕЛЬНЫЙ УРОН:"
"[english]ability_juggernaut_omni_slash_bonus_damage"	"BONUS DAMAGE:"

"ability_juggernaut_omni_slash_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_juggernaut_omni_slash_duration"	"DURATION:"

"ability_juggernaut_omni_slash_duration_scepter"	"ДЛИТЕЛЬНОСТЬ СО СКИПЕТРОМ:"
"[english]ability_juggernaut_omni_slash_duration_scepter"	"SCEPTER DURATION:"

"ability_juggernaut_omni_slash_cooldown_scepter"	"ПЕРЕЗАРЯДКА СО СКИПЕТРОМ:"
"[english]ability_juggernaut_omni_slash_cooldown_scepter"	"SCEPTER COOLDOWN:"

"ability_pudge_flesh_heap_health_regen"	"ВОССТАНОВЛЕНИЕ ЗДОРОВЬЯ:"
"[english]ability_pudge_flesh_heap_health_regen"	"HEALTH REGEN:"

"ability_bane_enfeeble_status_resistance_reduction"	"%УМЕНЬШЕНИЕ СОПРОТИВЛЕНИЯ ЭФФЕКТАМ:"
"[english]ability_bane_enfeeble_status_resistance_reduction"	"%STATUS RESISTANCE REDUCTION:"

"ability_bane_enfeeble_attack_speed_reduction"	"ЗАМЕДЛЕНИЕ АТАКИ:"
"[english]ability_bane_enfeeble_attack_speed_reduction"	"ATTACK SPEED REDUCTION:"

"ability_bane_enfeeble_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_bane_enfeeble_duration"	"DURATION:"

"ability_sven_warcry_radius"	"РАДИУС:"
"[english]ability_sven_warcry_radius"	"RADIUS:"

"ability_sven_warcry_movespeed"	"%ДОПОЛНИТЕЛЬНАЯ СКОРОСТЬ:"
"[english]ability_sven_warcry_movespeed"	"%BONUS SPEED:"

"ability_sven_warcry_hp_shield"	"ЗДОРОВЬЕ ЩИТА:"
"[english]ability_sven_warcry_hp_shield"	"SHIELD HEALTH:"

"ability_sven_warcry_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_sven_warcry_duration"	"DURATION:"

"ability_phantom_assassin_phantom_strike_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_phantom_assassin_phantom_strike_duration"	"DURATION:"

"ability_phantom_assassin_blur_fade_duration"	"ЗАДЕРЖКА ПЕРЕД ПОЯВЛЕНИЕМ:"
"[english]ability_phantom_assassin_blur_fade_duration"	"VANISH BUFFER:"

"ability_drow_ranger_trueshot_trueshot_ranged_attack_speed"	"%ДОП. СКОРОСТЬ АТАКИ:"
"[english]ability_drow_ranger_trueshot_trueshot_ranged_attack_speed"	"%RANGE ATTACK SPEED:"

"ability_drow_ranger_marksmanship_chance"	"%ШАНС:"
"[english]ability_drow_ranger_marksmanship_chance"	"%CHANCE:"

"ability_bloodseeker_thirst_bonus_attack_speed"	"МАКС. СКОРОСТЬ АТАКИ:"
"[english]ability_bloodseeker_thirst_bonus_attack_speed"	"MAX ATTACK SPEED:"

"ability_razor_plasma_field_slow_min"	"%МИН. ЗАМЕДЛЕНИЕ:"
"[english]ability_razor_plasma_field_slow_min"	"%SLOW MIN:"

"ability_razor_plasma_field_slow_max"	"%МАКС. ЗАМЕДЛЕНИЕ:"
"[english]ability_razor_plasma_field_slow_max"	"%SLOW MAX:"

"ability_razor_plasma_field_slow_duration"	"ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
"[english]ability_razor_plasma_field_slow_duration"	"SLOW DURATION:"

"ability_razor_unstable_current_passive_area_damage"	"УРОН В ОБЛАСТИ:"
"[english]ability_razor_unstable_current_passive_area_damage"	"PASSIVE AREA DAMAGE:"

"ability_razor_unstable_current_passive_area_interval"	"ИНТЕРВАЛ НАНЕСЕНИЯ УРОНА:"
"[english]ability_razor_unstable_current_passive_area_interval"	"PASSIVE AREA INTERVAL:"

