\\ Названия всех модифайеров \\
\\ Обновлено 29.05.2019; Патч 7.22b \\

"modifier_life_stealer_infest"	"Паразитирует носителя"
"[english]modifier_cny2015_speed_0_Description"	"Level 1:\nAttack Speed Aura:\nAllied units gain 30 attack speed in a 900 radius around the Beast.\n\nLevel 2:\nStampede:\nIf there are 2 or more enemy Heroes within 500 range of the Year Beast, it causes a Stampede, and all friendly units gain haste and phase for 3 seconds.n\nLevel 3:\nRefresher Aura:\nWhen an allied hero casts a spell within 900 range of the Beast, that spell has a 50% chance to be instantly refreshed.\n\n\nMultiple instances of Speed Path have independent cooldowns for Stampede, and independent chances to proc Refresher Aura."

"modifier_cny2015_speed_1"	"Speed Aura"
"[english]modifier_cny2015_speed_1"	"Speed Aura"

"modifier_cny2015_speed_1_Description"	"Уровень 1:\nAttack Speed Aura:\nСоюзные юниты получают 30 скорости атаки в радиусе 900 вокруг Годня.\n\nУровень 2:\nStampede:\nЕсли в радиусе 500 вокруг Годня будет больше одного героя, то на 3 секунды все союзные юниты получат максимальную скорость и возможность проходить сквозь врагов.\n\nУровень 3:\nRefresher Aura:\nКогда союзный герой использует заклинание в радиусе 900 вокруг Годня, это заклинание имеет 50% шанс мгновенно перезарядиться.\n\n\nКаждая способность имеет свой кулдаун и шанс срабатывания."
"[english]modifier_cny2015_speed_1_Description"	"Level 1:\nAttack Speed Aura:\nAllied units gain 30 attack speed in a 900 radius around the Beast.\n\nLevel 2:\nStampede:\nIf there are 2 or more enemy Heroes within 500 range of the Year Beast, it causes a Stampede, and all friendly units gain haste and phase for 3 seconds.\n\nLevel 3:\nRefresher Aura:\nWhen an allied hero casts a spell within 900 range of the Beast, that spell has a 50% chance to be instantly refreshed.\n\n\nMultiple instances of Speed Path have independent cooldowns for Stampede, and independent chances to proc Refresher Aura."

"modifier_cny2015_speed_2"	"Speed Aura"
"[english]modifier_cny2015_speed_2"	"Speed Aura"

"modifier_cny2015_speed_2_Description"	"Уровень 1:\nAttack Speed Aura:\nСоюзные юниты получают 30 скорости атаки в радиусе 900 вокруг Годня.\n\nУровень 2:\nStampede:\nЕсли в радиусе 500 вокруг Годня будет больше одного героя, то на 3 секунды все союзные юниты получат максимальную скорость и возможность проходить сквозь врагов.\n\nУровень 3:\nRefresher Aura:\nКогда союзный герой использует заклинание в радиусе 900 вокруг Годня, это заклинание имеет 50% шанс мгновенно перезарядиться.\n\n\nКаждая способность имеет свой кулдаун и шанс срабатывания."
"[english]modifier_cny2015_speed_2_Description"	"Level 1:\nAttack Speed Aura:\nAllied units gain 30 attack speed in a 900 radius around the Beast.\n\nLevel 2:\nStampede:\nIf there are 2 or more enemy Heroes within 500 range of the Year Beast, it causes a Stampede, and all friendly units gain haste and phase for 3 seconds.\n\nLevel 3:\nRefresher Aura:\nWhen an allied hero casts a spell within 900 range of the Beast, that spell has a 50% chance to be instantly refreshed.\n\n\nMultiple instances of Speed Path have independent cooldowns for Stampede, and independent chances to proc Refresher Aura."

"modifier_cny2015_speed_3"	"Speed Aura"
"[english]modifier_cny2015_speed_3"	"Speed Aura"

"modifier_cny2015_speed_3_Description"	"Уровень 1:\nAttack Speed Aura:\nСоюзные юниты получают 30 скорости атаки в радиусе 900 вокруг Годня.\n\nУровень 2:\nStampede:\nЕсли в радиусе 500 вокруг Годня будет больше одного героя, то на 3 секунды все союзные юниты получат максимальную скорость и возможность проходить сквозь врагов.\n\nУровень 3:\nRefresher Aura:\nКогда союзный герой использует заклинание в радиусе 900 вокруг Годня, это заклинание имеет 50% шанс мгновенно перезарядиться.\n\n\nКаждая способность имеет свой кулдаун и шанс срабатывания."
"[english]modifier_cny2015_speed_3_Description"	"Level 1:\nAttack Speed Aura:\nAllied units gain 30 attack speed in a 900 radius around the Beast.\n\nLevel 2:\nStampede:\nIf there are 2 or more enemy Heroes within 500 range of the Year Beast, it causes a Stampede, and all friendly units gain haste and phase for 3 seconds.\n\nLevel 3:\nRefresher Aura:\nWhen an allied hero casts a spell within 900 range of the Beast, that spell has a 50% chance to be instantly refreshed.\n\n\nMultiple instances of Speed Path have independent cooldowns for Stampede, and independent chances to proc Refresher Aura."

"modifier_cny2015_speed_4"	"Speed Aura"
"[english]modifier_cny2015_speed_4"	"Speed Aura"

"modifier_cny2015_speed_4_Description"	"Уровень 1:\nAttack Speed Aura:\nСоюзные юниты получают 30 скорости атаки в радиусе 900 вокруг Годня.\n\nУровень 2:\nStampede:\nЕсли в радиусе 500 вокруг Годня будет больше одного героя, то на 3 секунды все союзные юниты получат максимальную скорость и возможность проходить сквозь врагов.\n\nУровень 3:\nRefresher Aura:\nКогда союзный герой использует заклинание в радиусе 900 вокруг Годня, это заклинание имеет 50% шанс мгновенно перезарядиться.\n\n\nКаждая способность имеет свой кулдаун и шанс срабатывания."
"[english]modifier_cny2015_speed_4_Description"	"Level 1:\nAttack Speed Aura:\nAllied units gain 30 attack speed in a 900 radius around the Beast.\n\nLevel 2:\nStampede:\nIf there are 2 or more enemy Heroes within 500 range of the Year Beast, it causes a Stampede, and all friendly units gain haste and phase for 3 seconds.\n\nLevel 3:\nRefresher Aura:\nWhen an allied hero casts a spell within 900 range of the Beast, that spell has a 50% chance to be instantly refreshed.\n\n\nMultiple instances of Speed Path have independent cooldowns for Stampede, and independent chances to proc Refresher Aura."

"modifier_cny_beast_speed_path"	"Speed Aura"
"[english]modifier_cny_beast_speed_path"	"Speed Aura"

"modifier_cny_beast_speed_path_Description"	"Уровень 1:\nAttack Speed Aura:\nСоюзные юниты получают 30 скорости атаки в радиусе 900 вокруг Годня.\n\nУровень 2:\nStampede:\nЕсли в радиусе 500 вокруг Годня будет больше одного героя, то на 3 секунды все союзные юниты получат максимальную скорость и возможность проходить сквозь врагов.\n\nУровень 3:\nRefresher Aura:\nКогда союзный герой использует заклинание в радиусе 900 вокруг Годня, это заклинание имеет 50% шанс мгновенно перезарядиться.\n\n\nКаждая способность имеет свой кулдаун и шанс срабатывания."
"[english]modifier_cny_beast_speed_path_Description"	"Level 1:\nAttack Speed Aura:\nAllied units gain 30 attack speed in a 900 radius around the Beast.\n\nLevel 2:\nStampede:\nIf there are 2 or more enemy Heroes within 500 range of the Year Beast, it causes a Stampede, and all friendly units gain haste and phase for 3 seconds.\n\nLevel 3:\nRefresher Aura:\nWhen an allied hero casts a spell within 900 range of the Beast, that spell has a 50% chance to be instantly refreshed.\n\n\nMultiple instances of Speed Path have independent cooldowns for Stampede, and independent chances to proc Refresher Aura."

"modifier_cny_beast_aegis"	"Beast Aegis"
"[english]modifier_cny_beast_aegis"	"Beast Aegis"

"modifier_cny_beast_aegis_Description"	"Если убить этого Годня, он вскоре возродится. Пропадает после использования."
"[english]modifier_cny_beast_aegis_Description"	"This Year Beast will respawn after a short delay when killed.  Gone after one use."

"modifier_skeleton_king_reincarnation_scepter"	"Задержка смерти"
"[english]modifier_skeleton_king_reincarnation_scepter"	"Wraith Delay"

"modifier_skeleton_king_reincarnation_scepter_Description"	"Если погибнет, на 7 секунд останется на поле боя в виде призрака."
"[english]modifier_skeleton_king_reincarnation_scepter_Description"	"If slain, will become a wraith for 7 seconds before dying."

"modifier_skeleton_king_reincarnation_scepter_active"	"Задержка смерти"
"[english]modifier_skeleton_king_reincarnation_scepter_active"	"Death Delay"

"modifier_skeleton_king_reincarnation_scepter_active_Description"	"Стал призраком, но скоро умрет."
"[english]modifier_skeleton_king_reincarnation_scepter_active_Description"	"Became a wraith to delay death, but will die shortly."

"modifier_dragonknight_breathefire_reduction"	"Breathe Fire"
"[english]modifier_dragonknight_breathefire_reduction"	"Breathe Fire"

"modifier_dragonknight_breathefire_reduction_Description"	"Урон от атак уменьшен на 25%%."
"[english]modifier_dragonknight_breathefire_reduction_Description"	"Attack damage reduced by 25%%."

"modifier_life_stealer_assimilate"	"Проглочен"
"[english]modifier_life_stealer_assimilate"	"Assimilated"

"modifier_life_stealer_assimilate_Description"	"Прячется внутри Lifestealer. Лечится наравне с Lifestealer.\n\nПриказ на передвижение, применение способности или нажатие на эту иконку вынет вас из Lifestealer, и вы нанесёте урон врагам вокруг."
"[english]modifier_life_stealer_assimilate_Description"	"Hiding within Lifestealer. Any healing Lifestealer receives is shared.\n\nMoving, casting an ability, or clicking on this icon will cause you to erupt from Lifestealer and damage nearby enemies."

"modifier_bounty_hunter_track_Description"	"Текущее золото: %dMODIFIER_PROPERTY_TOOLTIP%"
"[english]modifier_bounty_hunter_track_Description"	"Carrying %dMODIFIER_PROPERTY_TOOLTIP% Gold."

"modifier_flamebreak_damage"	"Горение от Flamebreak"
"[english]modifier_flamebreak_damage"	"Flamebreak Burn"

"modifier_flamebreak_damage_Description"	"Горит! Получает периодический урон."
"[english]modifier_flamebreak_damage_Description"	"On fire! Taking periodic damage."

"modifier_item_ultimate_scepter_consumed"	"Эссенция Aghanim's Scepter"
"[english]modifier_item_ultimate_scepter_consumed"	"Aghanim's Scepter Synth"

"modifier_item_ultimate_scepter_consumed_Description"	"Герой навсегда получил улучшение от Aghanim's Scepter."
"[english]modifier_item_ultimate_scepter_consumed_Description"	"Permanently granted Aghanim's Scepter hero upgrade."

"modifier_nyx_assassin_impale_Description"	"Оглушен."
"[english]modifier_nyx_assassin_impale_Description"	"Stunned."

"modifier_nyx_assassin_burrow"	"Закопался в землю"
"[english]modifier_nyx_assassin_burrow"	"Burrowed"

"modifier_nyx_assassin_burrow_Description"	"Неподвижен, невидим и не может атаковать. Быстрее восстанавливает здоровье и ману, а также получает уменьшенный урон."
"[english]modifier_nyx_assassin_burrow_Description"	"Stationary, invisible, and unable to attack. Gaining bonus health and mana regeneration and taking reduced damage."

"modifier_keeper_of_the_light_chakra_magic"	"Chakra Magic"
"[english]modifier_keeper_of_the_light_chakra_magic"	"Chakra Magic"

"modifier_keeper_of_the_light_chakra_magic_Description"	"Следующее произнесенное заклинание перезарядится быстрее."
"[english]modifier_keeper_of_the_light_chakra_magic_Description"	"The next spell cast will have its cooldown reduced."

"modifier_tusk_walrus_kick_slow"	"Пнут"
"[english]modifier_tusk_walrus_kick_slow"	"Walrus Kicked"

"modifier_tusk_walrus_kick_slow_Description"	"Замедлен на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_tusk_walrus_kick_slow_Description"	"Slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_tusk_walrus_kick_air_time"	"БАМ!"
"[english]modifier_tusk_walrus_kick_air_time"	"BAM!"

"modifier_boots_of_travel_recall"	"Boots of Travel"
"[english]modifier_boots_of_travel_recall"	"Boots of Travel"

"modifier_boots_of_travel_recall_Description"	"Телепортируется к союзнику."
"[english]modifier_boots_of_travel_recall_Description"	"Being teleported to an ally."

"modifier_item_lotus_orb_active"	"Echo Shell"
"[english]modifier_item_lotus_orb_active"	"Echo Shell"

"modifier_item_lotus_orb_active_Description"	"Большинство направленных на цель заклинаний будет направлено обратно."
"[english]modifier_item_lotus_orb_active_Description"	"Most targeted spells will be re-cast at the caster."

"modifier_item_solar_crest_armor_reduction"	"Solar Crest"
"[english]modifier_item_solar_crest_armor_reduction"	"Solar Crest"

"modifier_item_solar_crest_armor_reduction_Description"	"Броня уменьшена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%, передвижение замедлено на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% и атака замедлена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%%%."
"[english]modifier_item_solar_crest_armor_reduction_Description"	"Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%, movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, and attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%%%."

"modifier_item_solar_crest_armor_addition"	"Solar Crest"
"[english]modifier_item_solar_crest_armor_addition"	"Solar Crest"

"modifier_item_solar_crest_armor_addition_Description"	"Броня увеличена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%, передвижение ускорено на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% и атака ускорена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%%%."
"[english]modifier_item_solar_crest_armor_addition_Description"	"Armor increased by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%, movement spead increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, and attack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%%%."

"modifier_item_moon_shard_consumed"	"Moon Shard"
"[english]modifier_item_moon_shard_consumed"	"Moon Shard"

"modifier_item_moon_shard_consumed_Description"	"От поглощённого Moon Shard скорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%, а радиус обзора ночью увеличен на 200."
"[english]modifier_item_moon_shard_consumed_Description"	"Attack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% and night vision increased by 200 after consuming a Moon Shard."

"modifier_item_guardian_greaves_aura"	"Guardian Aura"
"[english]modifier_item_guardian_greaves_aura"	"Guardian Aura"

"modifier_item_guardian_greaves_aura_Description"	"Восстановление здоровья увеличено на %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%. Броня увеличена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
"[english]modifier_item_guardian_greaves_aura_Description"	"Regenerating %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% health per second. Armor increased by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

"modifier_item_silver_edge_windwalk"	"Shadow Walk"
"[english]modifier_item_silver_edge_windwalk"	"Shadow Walk"

"modifier_item_silver_edge_windwalk_Description"	"Герой невидим и может проходить сквозь других существ. Передвижение ускорено на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. Атака снимет невидимость, нанесёт 225 дополнительного урона, замедлит цель и отключит её пассивные способности."
"[english]modifier_item_silver_edge_windwalk_Description"	"Invisible. Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and you can move through units. Attacking to break invisibility will deal 225 bonus damage, slow the target and disable their passives."

"modifier_silver_edge_debuff"	"Атака Shadow Walk"
"[english]modifier_silver_edge_debuff"	"Shadow Walk Attack"

"modifier_silver_edge_debuff_Description"	"Пассивные способности отключены."
"[english]modifier_silver_edge_debuff_Description"	"Passive abilities disabled."

"modifier_item_mekansm_noheal"	"Перезарядка лечения"
"[english]modifier_item_mekansm_noheal"	"Healing Cooldown"

"modifier_item_mekansm_noheal_Description"	"Активируемые способности Mekansm и Guardian Greaves не сработают на том, кто недавно был ими вылечен."
"[english]modifier_item_mekansm_noheal_Description"	"Mekansm Restore and Guardian Greaves Mend will not affect a unit that has recently been healed by Restore or Mend."

"modifier_legion_commander_moment_of_courage_lifesteal"	"Moment of Courage"
"[english]modifier_legion_commander_moment_of_courage_lifesteal"	"Moment of Courage"

"modifier_legion_commander_moment_of_courage_lifesteal_Description"	"Следующая атака будет проведена с максимальной скоростью."
"[english]modifier_legion_commander_moment_of_courage_lifesteal_Description"	"The next attack will have maximum attack speed."

"modifier_centaur_stampede_Description"	"Движется с максимальной скоростью и растаптывает врагов."
"[english]modifier_centaur_stampede_Description"	"Moving at max speed and stopping enemy units trampled."

"modifier_bashed"	"Оглушение"
"[english]modifier_bashed"	"Bash"

"modifier_bashed_Description"	"Оглушен ударом."
"[english]modifier_bashed_Description"	"Stunned by bash."

"modifier_techies_minefield_sign_aura"	"Minefield Sign"
"[english]modifier_techies_minefield_sign_aura"	"Minefield Sign"

"modifier_techies_minefield_sign_aura_Description"	"Спрятано способностью Minefield Sign."
"[english]modifier_techies_minefield_sign_aura_Description"	"Hidden by the Techies' Minefield Sign."

"modifier_sand_king_caustic_finale_slow"	"Замедление от Caustic Finale"
"[english]modifier_sand_king_caustic_finale_slow"	"Caustic Finale Slow"

"modifier_sand_king_caustic_finale_slow_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_sand_king_caustic_finale_slow_Description"	"Movement speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_furion_wrathofnature_spawn"	"Wrath of Nature"
"[english]modifier_furion_wrathofnature_spawn"	"Wrath of Nature"

"modifier_furion_wrathofnature_spawn_Description"	"При смерти из этого существа появится энт."
"[english]modifier_furion_wrathofnature_spawn_Description"	"Will spawn a treant if killed."

"modifier_earth_spirit_geomagnetic_grip_debuff"	"Безмолвие"
"[english]modifier_earth_spirit_geomagnetic_grip_debuff"	"Silenced"

"modifier_terrorblade_metamorphosis_transform_aura_applier"	"Аура Metamorphosis"
"[english]modifier_terrorblade_metamorphosis_transform_aura_applier"	"Metamorphosis Aura"

"modifier_terrorblade_metamorphosis_transform_aura_applier_Description"	"Иллюзии героя неподалёку будут принимать демоническую форму."
"[english]modifier_terrorblade_metamorphosis_transform_aura_applier_Description"	"Terrorblade's nearby illusions will match his current form."

"modifier_arc_warden_flux"	"Flux"
"[english]modifier_arc_warden_flux"	"Flux"

"modifier_arc_warden_flux_Description"	"Получает урон и замедляется на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, если рядом никого нет."
"[english]modifier_arc_warden_flux_Description"	"Taking damage and slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% when not near a friendly unit."

"modifier_arc_warden_magnetic_field_attack_speed"	"Magnetic Field"
"[english]modifier_arc_warden_magnetic_field_attack_speed"	"Magnetic Field"

"modifier_arc_warden_magnetic_field_attack_speed_Description"	"Получает %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% скорости атаки и 100%% уклонения от атак, совершенных извне Magnetic Field."
"[english]modifier_arc_warden_magnetic_field_attack_speed_Description"	"Gaining bonus %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% attack speed and granting 100%% evasion from attacks outside the field."

"modifier_arc_warden_tempest_double"	"Tempest Double"
"[english]modifier_arc_warden_tempest_double"	"Tempest Double"

"modifier_arc_warden_tempest_double_Description"	"Полная копия героя, которая может применять его способности и использовать имеющиеся предметы, кроме Gem of True Sight и Divine Rapier."
"[english]modifier_arc_warden_tempest_double_Description"	"A complete clone of Arc Warden that can use spells and items with the exception of Gem of True Sight and Divine Rapier."

"modifier_black_dragon_dragonhide_aura_bonus"	"Dragonhide Aura"
"[english]modifier_black_dragon_dragonhide_aura_bonus"	"Dragonhide Aura"

"modifier_black_dragon_dragonhide_aura_bonus_Description"	"Броня увеличена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
"[english]modifier_black_dragon_dragonhide_aura_bonus_Description"	"Armor increased by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

"modifier_big_thunder_lizard_wardrums_aura"	"War Drums Aura"
"[english]modifier_big_thunder_lizard_wardrums_aura"	"War Drums Aura"

"modifier_big_thunder_lizard_wardrums_aura_Description"	"Скорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%, урон увеличен на %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%."
"[english]modifier_big_thunder_lizard_wardrums_aura_Description"	"Attack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%, and attack damage increased by %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%."

"modifier_undying_tombstone_zombie_modifier"	"Замедление от Deathlust"
"[english]modifier_undying_tombstone_zombie_modifier"	"Deathlust Slow"

"modifier_undying_tombstone_zombie_modifier_Description"	"Зомби замедляет свою жертву."
"[english]modifier_undying_tombstone_zombie_modifier_Description"	"Undying Zombie attacks slow their target."

"modifier_leshrac_lightning_storm_slow"	"Замедление от Lightning Storm"
"[english]modifier_leshrac_lightning_storm_slow"	"Lightning Storm Slow"

"modifier_earth_spirit_boulder_smash"	"Boulder Smash
"[english]modifier_earth_spirit_boulder_smash"	"Boulder Smash"

"modifier_fissure_rooted"	"Прикован к земле"
"[english]modifier_fissure_rooted"	"Rooted"

"modifier_fountain_aura_buff"	"Восстановление от фонтана"
"[english]modifier_fountain_aura_buff"	"Fountain Rejuvenation"

"modifier_fountain_aura_buff_Description"	"Восстанавливает %dMODIFIER_PROPERTY_HEALTH_REGEN_PERCENTAGE%%% здоровья и %dMODIFIER_PROPERTY_MANA_REGEN_TOTAL_PERCENTAGE%%% маны в секунду."
"[english]modifier_fountain_aura_buff_Description"	"Heals %dMODIFIER_PROPERTY_HEALTH_REGEN_PERCENTAGE%%% HP and %dMODIFIER_PROPERTY_MANA_REGEN_TOTAL_PERCENTAGE%%% mana per second."

"modifier_death_prophet_spirit_siphon_charge_counter"	"Зарядов Spirit Siphon"
"[english]modifier_death_prophet_spirit_siphon_charge_counter"	"Spirit Siphon Charges"

"modifier_death_prophet_spirit_siphon_charge_counter_Description"	"Способность Spirit Siphon можно применить, если есть заряды."
"[english]modifier_death_prophet_spirit_siphon_charge_counter_Description"	"You may cast Spirit Siphon whenever there is a charge available."

"modifier_kunkka_ghost_ship_loaded"	"Все на борт!"
"[english]modifier_kunkka_ghost_ship_loaded"	"Aboard Mission"

"modifier_kunkka_ghost_ship_loaded_Description"	"Kunkka несет вас на своем корабле!"
"[english]modifier_kunkka_ghost_ship_loaded_Description"	"You are loaded on Kunkka's Ghost Ship!"

"modifier_faceless_void_time_dilation_slow"	"Замедление от Time Dilation"
"[english]modifier_faceless_void_time_dilation_slow"	"Time Dilation Slow"

"modifier_faceless_void_time_dilation_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, а скорость атаки — на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_faceless_void_time_dilation_Description"	"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"modifier_doom_bringer_infernal_blade_burn"	"Горение от Infernal Blade"
"[english]modifier_doom_bringer_infernal_blade_burn"	"Infernal Blade Burn"

"modifier_doom_bringer_infernal_blade_burn_Description"	"Получает %dMODIFIER_PROPERTY_TOOLTIP% урона каждую секунду"
"[english]modifier_doom_bringer_infernal_blade_burn_Description"	"Dealing %dMODIFIER_PROPERTY_TOOLTIP% damage per second"

"modifier_lycan_summon_wolves_crit_maim"	"Cripple"
"[english]modifier_lycan_summon_wolves_crit_maim"	"Cripple"

"modifier_lycan_summon_wolves_crit_maim_Description"	"Скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%. Получает %dMODIFIER_PROPERTY_TOOLTIP% урона в секунду."
"[english]modifier_lycan_summon_wolves_crit_maim_Description"	"Reducing attack speed by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% and taking %dMODIFIER_PROPERTY_TOOLTIP% damage."

"modifier_lone_druid_savage_roar"	"Savage Roar"
"[english]modifier_lone_druid_savage_roar"	"Savage Roar"

"modifier_lone_druid_savage_roar_Description"	"Убегает с увеличенной скоростью передвижения."
"[english]modifier_lone_druid_savage_roar_Description"	"Flees with increased movement speed."

"modifier_rune_arcane"	"Волшебство"
"[english]modifier_rune_arcane"	"Arcane"

"modifier_rune_arcane_Description"	"Время перезарядки и расход маны способностей уменьшены на 30%%."
"[english]modifier_rune_arcane_Description"	"Reduces cooldowns by 30%% and manacosts by 30%%"

"modifier_mudgolem_cloak_aura_bonus"	"Cloak Aura"
"[english]modifier_mudgolem_cloak_aura_bonus"	"Cloak Aura"

"modifier_mudgolem_cloak_aura_bonus_Description"	"Сопротивление магии увеличено на %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%."
"[english]modifier_mudgolem_cloak_aura_bonus_Description"	"Magic resistance increased by %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%."

"modifier_obsidian_destroyer_astral_imprisonment_buff_counter"	"Украдено интеллекта"
"[english]modifier_obsidian_destroyer_astral_imprisonment_buff_counter"	"Intelligence Steal"

"modifier_obsidian_destroyer_astral_imprisonment_buff_counter_Description"	"Забрал у врагов %dMODIFIER_PROPERTY_TOOLTIP% ед. интеллекта."
"[english]modifier_obsidian_destroyer_astral_imprisonment_buff_counter_Description"	"Stealing %dMODIFIER_PROPERTY_TOOLTIP% intelligence from enemies."

"modifier_obsidian_destroyer_astral_imprisonment_debuff_counter"	"Украдено интеллекта"
"[english]modifier_obsidian_destroyer_astral_imprisonment_debuff_counter"	"Intelligence Steal"

"modifier_obsidian_destroyer_astral_imprisonment_debuff_counter_Description"	"Outworld Devourer забрал %dMODIFIER_PROPERTY_TOOLTIP% ед. интеллекта."
"[english]modifier_obsidian_destroyer_astral_imprisonment_debuff_counter_Description"	"Losing %dMODIFIER_PROPERTY_TOOLTIP% intelligence from Outworld Devourer."

"modifier_magnataur_empower_aura_buff"	"Аура Empower"
"[english]modifier_magnataur_empower_aura_buff"	"Empower Aura"

"modifier_magnataur_empower_aura_buff_Description"	"Основной урон увеличен на %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%. Герои ближнего боя наносят %dMODIFIER_PROPERTY_TOOLTIP%%% урона прорубающими атаки, а герои дальнего боя наносят половину этого урона в радиусе 200 вокруг основной цели."
"[english]modifier_magnataur_empower_aura_buff_Description"	"Base damage increased by %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%.  Melee heroes gain %dMODIFIER_PROPERTY_TOOLTIP%%% cleave damage on hit, ranged heroes gain half that in a 200 yard splash damage around their target."

"modifier_item_hood_of_defiance_barrier"	"Barrier"
"[english]modifier_item_hood_of_defiance_barrier"	"Barrier"

"modifier_item_hood_of_defiance_barrier_Description"	"Волшебный щит, который блокирует %dMODIFIER_PROPERTY_INCOMING_SPELL_DAMAGE_CONSTANT% получаемого магического урона."
"[english]modifier_item_hood_of_defiance_barrier_Description"	"Magic shield that blocks %dMODIFIER_PROPERTY_INCOMING_SPELL_DAMAGE_CONSTANT% incoming magic damage."

"modifier_neutral_spell_immunity_visible"	"Невосприимчивость к магии"
"[english]modifier_neutral_spell_immunity_visible"	"Spell Immunity"

"modifier_neutral_spell_immunity_visible_Description"	"Это существо не ощущает большинство магических заклинаний."
"[english]modifier_neutral_spell_immunity_visible_Description"	"This creature does not feel the effects of most magical spells."

"modifier_lich_frostnova_slow"	"Замедление от Frost Blast"
"[english]modifier_lich_frostnova_slow"	"Frost Blast Slow"

"modifier_lich_frostnova_slow_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_lich_frostnova_slow_Description"	"Movement speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, attack speed slowed by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%"

"modifier_lich_chainfrost_slow"	"Замедление от Chain Frost"
"[english]modifier_lich_chainfrost_slow"	"Chain Frost Slow"

